id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,28000,28000,28000.0, 36 months,14.65,965.84,C,C5,Professional Staff,10+ years,MORTGAGE,91500.0,Source Verified,Jun-2015,Fully Paid,n,,,credit_card,Credit card refinancing,207xx,MD,21.9,0.0,Feb-1994,0.0,31.0,,22.0,0.0,15254,52.6,48.0,f,0.0,0.0,28958.97,28958.97,28000.0,958.97,0.0,0.0,0.0,Aug-2015,26981.76,,Feb-2019,0.0,31.0,1,Individual,,,,0.0,0.0,288213.0,,,,,,,,,,,,29000.0,,,,13.0,15169.0,2242.0,84.4,0.0,0.0,115.0,255.0,6.0,6.0,5.0,6.0,,10.0,,2.0,4.0,9.0,5.0,9.0,12.0,17.0,31.0,9.0,22.0,0.0,0.0,0.0,6.0,91.7,80.0,0.0,0.0,377437.0,70798.0,14400.0,89237.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,23000,23000,23000.0, 60 months,10.49,494.25,B,B2,Product Representative,3 years,MORTGAGE,120000.0,Not Verified,Nov-2016,Current,n,,,debt_consolidation,Debt consolidation,799xx,TX,9.05,0.0,Apr-2001,0.0,,41.0,9.0,1.0,13967,28.6,16.0,w,11898.37,11898.37,15423.55,15423.55,11101.63,4321.92,0.0,0.0,0.0,Feb-2019,494.25,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,4966.0,31270.0,0.0,1.0,0.0,1.0,21.0,17303.0,55.0,2.0,4.0,8867.0,39.0,48800.0,0.0,0.0,0.0,5.0,3474.0,17733.0,33.3,0.0,0.0,26.0,186.0,9.0,9.0,0.0,22.0,,22.0,,0.0,1.0,5.0,3.0,7.0,2.0,8.0,14.0,5.0,9.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,1.0,80053.0,31270.0,26600.0,31253.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000.0, 36 months,16.29,282.41,D,D1,Operator,8 years,OWN,36000.0,Source Verified,Jun-2016,Current,n,,,debt_consolidation,Debt consolidation,385xx,TN,31.9,0.0,Aug-2005,0.0,,106.0,5.0,1.0,5755,73.8,16.0,w,1092.25,1092.25,9084.18,9084.18,6907.75,2176.43,0.0,0.0,0.0,Feb-2019,282.41,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,56815.0,0.0,1.0,1.0,1.0,7.0,51060.0,86.0,1.0,4.0,3770.0,82.0,7800.0,0.0,1.0,4.0,5.0,11363.0,644.0,87.8,0.0,0.0,129.0,112.0,7.0,7.0,0.0,7.0,,7.0,,0.0,2.0,3.0,2.0,3.0,11.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,2.0,100.0,100.0,1.0,0.0,62826.0,56815.0,5300.0,55026.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15725,15725,15725.0, 60 months,12.29,352.11,C,C1,Underwriting Assistant,2 years,OWN,35000.0,Verified,Apr-2015,Current,n,,,debt_consolidation,Debt consolidation,195xx,PA,8.13,0.0,Aug-1999,1.0,47.0,,13.0,0.0,15744,33.4,28.0,w,4461.66,4461.66,16286.32,16286.32,11263.34,5022.98,0.0,0.0,0.0,Feb-2019,352.11,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,48529.0,,,,,,,,,,,,47100.0,,,,6.0,4044.0,26285.0,37.4,0.0,0.0,57.0,187.0,3.0,3.0,1.0,3.0,,3.0,47.0,0.0,5.0,6.0,7.0,11.0,1.0,12.0,26.0,6.0,13.0,0.0,0.0,0.0,3.0,92.9,28.6,0.0,0.0,93306.0,15744.0,42000.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,28000,28000,28000.0, 36 months,9.17,892.61,B,B1,pharmacy manager,6 years,MORTGAGE,180000.0,Source Verified,May-2014,Fully Paid,n,,,credit_card,Credit card refinancing,759xx,TX,8.75,0.0,Feb-2001,0.0,45.0,,7.0,0.0,32020,38.0,11.0,f,0.0,0.0,31984.3100059451,31984.31,28000.0,3984.31,0.0,0.0,0.0,Oct-2016,6991.23,,Oct-2016,0.0,45.0,1,Individual,,,,0.0,0.0,58466.0,,,,,,,,,,,,58500.0,,,,3.0,9744.0,25418.0,39.5,0.0,0.0,56.0,159.0,2.0,2.0,0.0,2.0,,8.0,,1.0,3.0,5.0,4.0,6.0,3.0,6.0,8.0,5.0,7.0,0.0,0.0,0.0,2.0,90.9,0.0,0.0,0.0,86813.0,58466.0,57000.0,28313.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,23750,23750,23750.0, 60 months,17.27,593.71,D,D2,cook,3 years,RENT,54000.0,Not Verified,Mar-2016,Charged Off,n,,,credit_card,Credit card refinancing,894xx,NV,20.82,0.0,Mar-1997,0.0,62.0,,15.0,0.0,26904,62.9,24.0,w,0.0,0.0,7101.73,7101.73,3274.03,3827.7,0.0,0.0,0.0,Mar-2017,593.71,,Aug-2017,0.0,62.0,1,Individual,,,,0.0,79.0,26904.0,2.0,0.0,0.0,0.0,98.0,0.0,,3.0,3.0,6389.0,63.0,42800.0,0.0,2.0,1.0,3.0,1794.0,4783.0,69.1,0.0,0.0,98.0,228.0,2.0,2.0,2.0,36.0,,12.0,,1.0,4.0,14.0,5.0,8.0,1.0,15.0,21.0,14.0,15.0,0.0,0.0,0.0,3.0,95.8,60.0,0.0,0.0,42800.0,26904.0,15500.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000.0, 36 months,16.01,210.98,C,C5,Food Inspector ,3 years,RENT,49000.0,Not Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,714xx,LA,18.49,0.0,Aug-2009,0.0,38.0,,19.0,0.0,4771,62.8,22.0,w,4385.04,4385.04,2380.44,2380.44,1614.96,765.48,0.0,0.0,0.0,Feb-2019,210.98,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,79247.0,0.0,12.0,0.0,0.0,35.0,74476.0,94.0,1.0,3.0,2258.0,91.0,7600.0,1.0,0.0,0.0,3.0,4171.0,29.0,99.4,0.0,0.0,103.0,47.0,10.0,10.0,0.0,15.0,,15.0,,0.0,3.0,3.0,3.0,3.0,15.0,7.0,7.0,3.0,19.0,0.0,0.0,0.0,1.0,95.5,100.0,0.0,0.0,87213.0,79247.0,4800.0,79613.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000.0, 36 months,14.08,205.3,C,C3,Trained Medications Administrator,< 1 year,MORTGAGE,39520.0,Not Verified,Oct-2017,Current,n,,,major_purchase,Major purchase,551xx,MN,37.53,0.0,Feb-2009,0.0,,,6.0,0.0,6877,88.2,8.0,w,3641.66,3641.66,3275.41,3275.41,2358.34,917.07,0.0,0.0,0.0,Feb-2019,205.3,Mar-2019,Feb-2019,0.0,,1,Joint App,96520.0,39.04,Not Verified,0.0,0.0,44071.0,0.0,4.0,1.0,2.0,7.0,37194.0,60.0,0.0,0.0,4293.0,63.0,7800.0,0.0,0.0,0.0,2.0,7345.0,7.0,99.8,0.0,0.0,84.0,104.0,29.0,7.0,0.0,104.0,,,,0.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,70088.0,44071.0,4300.0,62288.0,51397.0,Sep-1992,0.0,1.0,18.0,48.4,3.0,18.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000.0, 36 months,10.99,163.67,B,B4,,,RENT,16354.8,Verified,Sep-2015,Fully Paid,n,,,debt_consolidation,Debt consolidation,440xx,OH,18.58,0.0,Jan-1981,0.0,,47.0,8.0,1.0,2211,24.0,16.0,f,0.0,0.0,5889.0661157921,5889.07,5000.0,889.07,0.0,0.0,0.0,Sep-2018,163.67,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,4855.0,,,,,,,,,,,,9200.0,,,,3.0,694.0,99.0,87.6,0.0,0.0,76.0,416.0,9.0,9.0,0.0,44.0,,9.0,,0.0,1.0,6.0,1.0,5.0,2.0,7.0,14.0,6.0,7.0,0.0,0.0,0.0,1.0,100.0,100.0,1.0,0.0,14160.0,4855.0,800.0,4960.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,28000,28000,28000.0, 36 months,9.44,896.14,B,B1,Lieutenant,10+ years,MORTGAGE,150000.0,Verified,Oct-2017,Current,n,,,debt_consolidation,Debt consolidation,955xx,CA,27.0,0.0,Mar-1998,0.0,,,8.0,0.0,43938,45.1,37.0,w,15779.56,15779.56,15028.55,15028.55,12220.44,2808.11,0.0,0.0,0.0,Feb-2019,1000.0,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,254585.0,0.0,4.0,0.0,2.0,15.0,70733.0,59.0,0.0,2.0,5184.0,58.0,51500.0,0.0,7.0,0.0,4.0,31823.0,4316.0,54.6,0.0,0.0,138.0,234.0,14.0,14.0,4.0,15.0,,14.0,,0.0,1.0,2.0,1.0,12.0,12.0,3.0,21.0,2.0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,329816.0,114671.0,9500.0,116144.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,19750,19750,19750.0, 60 months,14.99,469.75,C,C5,Director of Philanthropy,10+ years,RENT,45000.0,Verified,Dec-2014,Current,n,,,debt_consolidation,Debt consolidation,945xx,CA,32.03,0.0,Sep-1988,0.0,,,9.0,0.0,34609,80.3,19.0,w,4390.06,4390.06,23471.05,23471.05,15359.94,8111.11,0.0,0.0,0.0,Feb-2019,469.75,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,34609.0,,,,,,,,,,,,43100.0,,,,1.0,3845.0,3051.0,91.8,0.0,0.0,58.0,314.0,12.0,12.0,0.0,92.0,,12.0,,0.0,4.0,5.0,5.0,9.0,1.0,8.0,17.0,5.0,9.0,0.0,0.0,0.0,1.0,100.0,80.0,0.0,0.0,51633.0,34609.0,37400.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months,12.69,402.54,C,C2,Customs Border Protection Officer,< 1 year,OWN,44700.0,Source Verified,Mar-2015,Fully Paid,n,,,debt_consolidation,Debt consolidation,072xx,NJ,27.3,0.0,Nov-2004,0.0,,,14.0,0.0,12219,47.2,20.0,w,0.0,0.0,13955.57,13955.57,12000.0,1955.57,0.0,0.0,0.0,Nov-2016,6226.77,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,30589.0,,,,,,,,,,,,25900.0,,,,5.0,2185.0,1223.0,89.8,0.0,0.0,37.0,123.0,12.0,11.0,0.0,19.0,,,,0.0,3.0,6.0,3.0,4.0,3.0,11.0,17.0,6.0,14.0,0.0,0.0,0.0,3.0,100.0,66.7,0.0,0.0,48799.0,30589.0,12000.0,22899.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000.0, 36 months,11.47,263.7,B,B5,UXO Technician,10+ years,MORTGAGE,160000.0,Not Verified,Apr-2016,Fully Paid,n,,,debt_consolidation,Debt consolidation,275xx,NC,18.94,0.0,Jul-1987,1.0,,,14.0,0.0,76647,94.4,23.0,w,0.0,0.0,9191.1858758398,9191.19,8000.0,1191.19,0.0,0.0,0.0,Dec-2017,4185.99,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,138543.0,2.0,1.0,0.0,1.0,16.0,1953.0,65.0,2.0,2.0,28605.0,93.0,81200.0,0.0,0.0,2.0,3.0,9896.0,1177.0,97.9,0.0,0.0,176.0,345.0,2.0,2.0,2.0,134.0,,2.0,,0.0,6.0,11.0,6.0,9.0,2.0,12.0,19.0,11.0,14.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,164150.0,78600.0,57100.0,3000.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000.0, 36 months,12.99,168.45,B,B5,Contract Specialist,9 years,MORTGAGE,101584.0,Not Verified,Apr-2014,Fully Paid,n,,,other,Other,217xx,MD,16.5,0.0,Apr-1996,1.0,36.0,,12.0,0.0,48608,34.3,25.0,w,0.0,0.0,6064.0109663041,6064.01,5000.0,1064.01,0.0,0.0,0.0,Apr-2017,168.26,,Feb-2019,0.0,,1,Individual,,,,0.0,205.0,361225.0,,,,,,,,,,,,67300.0,,,,2.0,30102.0,17293.0,16.9,0.0,0.0,175.0,215.0,4.0,4.0,3.0,88.0,,4.0,37.0,0.0,2.0,7.0,3.0,3.0,9.0,8.0,13.0,7.0,12.0,0.0,0.0,0.0,1.0,92.0,33.3,0.0,0.0,414174.0,79496.0,20800.0,41874.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
